missing_rate,method,chunk_index,day_index,file_name,output_path,row_count,missing_count,fallback_count
0.2,forward_fill,51,51,node_flow_chunk_051.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_051.parquet,4034976,807756,0
0.2,forward_fill,52,52,node_flow_chunk_052.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_052.parquet,4034976,806843,0
0.2,forward_fill,53,53,node_flow_chunk_053.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_053.parquet,4034976,806678,0
0.2,forward_fill,54,54,node_flow_chunk_054.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_054.parquet,4034976,805876,0
0.2,forward_fill,55,55,node_flow_chunk_055.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_055.parquet,4034976,807248,0
0.2,forward_fill,56,56,node_flow_chunk_056.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_056.parquet,4034976,806685,0
0.2,forward_fill,57,57,node_flow_chunk_057.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_057.parquet,4034976,806074,0
0.2,forward_fill,58,58,node_flow_chunk_058.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_058.parquet,4034976,806824,0
0.2,forward_fill,59,59,node_flow_chunk_059.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_059.parquet,4034976,806785,0
0.2,forward_fill,60,60,node_flow_chunk_060.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_060.parquet,4034976,807915,0
0.2,function_curve_fit,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_002.parquet,4034976,807132,0
0.2,function_curve_fit,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_003.parquet,4034976,807228,0
0.2,function_curve_fit,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_004.parquet,4034976,807033,0
0.2,function_curve_fit,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_005.parquet,4034976,806519,0
0.2,function_curve_fit,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_006.parquet,4034976,806432,0
0.2,function_curve_fit,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_007.parquet,4034976,807705,0
0.2,function_curve_fit,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_008.parquet,4034976,808165,0
0.2,function_curve_fit,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_009.parquet,4034976,807119,0
0.2,function_curve_fit,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_010.parquet,4034976,807471,0
0.2,function_curve_fit,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_011.parquet,4034976,806590,0
0.2,function_curve_fit,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_012.parquet,4034976,806016,0
0.2,function_curve_fit,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_013.parquet,4034976,806244,0
0.2,function_curve_fit,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_014.parquet,4034976,807163,0
0.2,function_curve_fit,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_015.parquet,4034976,807050,0
0.2,function_curve_fit,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_016.parquet,4034976,807517,0
0.2,function_curve_fit,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_017.parquet,4034976,807246,0
0.2,function_curve_fit,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_018.parquet,4034976,806795,0
0.2,function_curve_fit,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_019.parquet,4034976,807269,0
0.2,function_curve_fit,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_020.parquet,4034976,808587,0
0.2,function_curve_fit,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_021.parquet,4034976,806510,0
0.2,function_curve_fit,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_022.parquet,4034976,806237,0
0.2,function_curve_fit,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_023.parquet,4034976,806859,0
0.2,function_curve_fit,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_024.parquet,4034976,807767,0
0.2,function_curve_fit,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_025.parquet,4034976,808001,0
0.2,function_curve_fit,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_026.parquet,4034976,806862,0
0.2,function_curve_fit,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_027.parquet,4034976,807753,0
0.2,function_curve_fit,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_028.parquet,4034976,806067,0
0.2,function_curve_fit,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_029.parquet,4034976,807328,0
0.2,function_curve_fit,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_030.parquet,4034976,806548,0
0.2,function_curve_fit,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_031.parquet,4034976,806725,0
0.2,function_curve_fit,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_032.parquet,4034976,806226,0
0.2,function_curve_fit,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_033.parquet,4034976,808533,0
0.2,function_curve_fit,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_034.parquet,4034976,807171,0
0.2,function_curve_fit,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_035.parquet,4034976,805899,0
0.2,function_curve_fit,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_036.parquet,4034976,807565,0
0.2,function_curve_fit,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_037.parquet,4034976,807261,0
0.2,function_curve_fit,38,38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_038.parquet,4034976,807501,0
0.2,function_curve_fit,39,39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_039.parquet,4034976,806867,0
0.2,function_curve_fit,40,40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_040.parquet,4034976,807050,0
0.2,function_curve_fit,41,41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_041.parquet,4034976,806259,0
0.2,function_curve_fit,42,42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_042.parquet,4034976,806271,0
0.2,function_curve_fit,43,43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_043.parquet,4034976,807903,0
0.2,function_curve_fit,44,44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_044.parquet,4034976,806955,0
0.2,function_curve_fit,45,45,node_flow_chunk_045.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_045.parquet,4034976,806178,0
0.2,function_curve_fit,46,46,node_flow_chunk_046.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_046.parquet,4034976,806778,0
0.2,function_curve_fit,47,47,node_flow_chunk_047.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_047.parquet,4034976,807069,0
0.2,function_curve_fit,48,48,node_flow_chunk_048.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_048.parquet,4034976,805999,0
0.2,function_curve_fit,49,49,node_flow_chunk_049.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_049.parquet,4034976,806611,0
0.2,function_curve_fit,50,50,node_flow_chunk_050.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_050.parquet,4034976,807368,0
0.2,function_curve_fit,51,51,node_flow_chunk_051.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_051.parquet,4034976,807756,0
0.2,function_curve_fit,52,52,node_flow_chunk_052.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_052.parquet,4034976,806843,0
0.2,function_curve_fit,53,53,node_flow_chunk_053.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_053.parquet,4034976,806678,0
0.2,function_curve_fit,54,54,node_flow_chunk_054.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_054.parquet,4034976,805876,0
0.2,function_curve_fit,55,55,node_flow_chunk_055.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_055.parquet,4034976,807248,0
0.2,function_curve_fit,56,56,node_flow_chunk_056.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_056.parquet,4034976,806685,0
0.2,function_curve_fit,57,57,node_flow_chunk_057.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_057.parquet,4034976,806074,0
0.2,function_curve_fit,58,58,node_flow_chunk_058.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_058.parquet,4034976,806824,0
0.2,function_curve_fit,59,59,node_flow_chunk_059.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_059.parquet,4034976,806785,0
0.2,function_curve_fit,60,60,node_flow_chunk_060.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_fcf\node_flow_chunk_060.parquet,4034976,807915,0
0.2,historical_linear_extrapolation,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_002.parquet,4034976,807132,0
0.2,historical_linear_extrapolation,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_003.parquet,4034976,807228,0
0.2,historical_linear_extrapolation,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_004.parquet,4034976,807033,0
0.2,historical_linear_extrapolation,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_005.parquet,4034976,806519,0
0.2,historical_linear_extrapolation,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_006.parquet,4034976,806432,0
0.2,historical_linear_extrapolation,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_007.parquet,4034976,807705,0
0.2,historical_linear_extrapolation,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_008.parquet,4034976,808165,0
0.2,historical_linear_extrapolation,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_009.parquet,4034976,807119,0
0.2,historical_linear_extrapolation,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_010.parquet,4034976,807471,0
0.2,historical_linear_extrapolation,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_011.parquet,4034976,806590,0
0.2,historical_linear_extrapolation,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_012.parquet,4034976,806016,0
0.2,historical_linear_extrapolation,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_013.parquet,4034976,806244,0
0.2,historical_linear_extrapolation,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_014.parquet,4034976,807163,0
0.2,historical_linear_extrapolation,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_015.parquet,4034976,807050,0
0.2,historical_linear_extrapolation,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_016.parquet,4034976,807517,0
0.2,historical_linear_extrapolation,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_017.parquet,4034976,807246,0
0.2,historical_linear_extrapolation,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_018.parquet,4034976,806795,0
0.2,historical_linear_extrapolation,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_019.parquet,4034976,807269,0
0.2,historical_linear_extrapolation,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_020.parquet,4034976,808587,0
0.2,historical_linear_extrapolation,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_021.parquet,4034976,806510,0
0.2,historical_linear_extrapolation,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_022.parquet,4034976,806237,0
0.2,historical_linear_extrapolation,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_023.parquet,4034976,806859,0
0.2,historical_linear_extrapolation,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_024.parquet,4034976,807767,0
0.2,historical_linear_extrapolation,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_025.parquet,4034976,808001,0
0.2,historical_linear_extrapolation,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_026.parquet,4034976,806862,0
0.2,historical_linear_extrapolation,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_027.parquet,4034976,807753,0
0.2,historical_linear_extrapolation,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_028.parquet,4034976,806067,0
0.2,historical_linear_extrapolation,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_029.parquet,4034976,807328,0
0.2,historical_linear_extrapolation,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_030.parquet,4034976,806548,0
0.2,historical_linear_extrapolation,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_031.parquet,4034976,806725,0
0.2,historical_linear_extrapolation,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_032.parquet,4034976,806226,0
0.2,historical_linear_extrapolation,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_033.parquet,4034976,808533,0
0.2,historical_linear_extrapolation,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_034.parquet,4034976,807171,0
0.2,historical_linear_extrapolation,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_035.parquet,4034976,805899,0
0.2,historical_linear_extrapolation,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_036.parquet,4034976,807565,0
0.2,historical_linear_extrapolation,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_037.parquet,4034976,807261,0
0.2,historical_linear_extrapolation,38,38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_038.parquet,4034976,807501,0
0.2,historical_linear_extrapolation,39,39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_039.parquet,4034976,806867,0
0.2,historical_linear_extrapolation,40,40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_040.parquet,4034976,807050,0
0.2,historical_linear_extrapolation,41,41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_041.parquet,4034976,806259,0
0.2,historical_linear_extrapolation,42,42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_042.parquet,4034976,806271,0
0.2,historical_linear_extrapolation,43,43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_hle\node_flow_chunk_043.parquet,4034976,807903,0
