scenario_tag,missing_rate_target,chunk_index,day_index,file_name,row_count,expected_missing_count,observed_missing_count,observed_missing_rate,expected_missing_rate,event_count,resampled_event_count,candidate_rounds,skipped_missing_slots,neighbor_observed_ratio,average_available_neighbor_count,min_available_neighbor_count,anchor_neighbor_count,strict_anchor_missing_count,relaxed_anchor_missing_count,weak_neighbor_available_missing_count,none_missing_count,spatially_constrained_missing_count,spatially_unconstrained_missing_count,spatially_constrained_ratio,constraint_relaxation_used,max_relaxation_stage_used,global_missing_count,allocation_source,constraint_stage_summaries,relaxation_reason,neighbor_protection_mode,placement_backend,checkpoint_mode,event_id_written_directly,backfill_event_ids_used,chunk_outer_loop_enabled,full_checkpoint_rewrite_disabled,spatial_constraint_relaxation,relaxation_policy,allow_no_spatial_constraint,min_spatially_constrained_ratio,write_missing_data,write_event_neighbor_rows,io_time_seconds,placement_time_seconds,write_time_seconds,checkpoint_time_seconds,mask_path,missing_dataset_path,status_json_path,status_csv_path,event_part_path,event_neighbor_path,elapsed_seconds
snh_r05_mix_s42,0.05,0,0,node_flow_chunk_000.parquet,4034976,201690,201690,0.04998542742261664,0.05,27322,2984,1,0,1.0,2.092892174804187,1,1,201690,0,0,0,201690,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201690, ""accepted_event_count"": 27322, ""resampled_candidate_count"": 2984, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.5754260000000002,1.9479748000000008,0.9102199999999989,0.00728820000000141,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_000_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_000.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_000.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_000.events.parquet,,2.7221961000000015
snh_r05_mix_s42,0.05,1,1,node_flow_chunk_001.parquet,4034976,201921,201921,0.05004267683376555,0.05,27355,2965,1,0,1.0,2.0834947907146772,1,1,201921,0,0,0,201921,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201921, ""accepted_event_count"": 27355, ""resampled_candidate_count"": 2965, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.9458129,2.6175013000000007,1.4543374,0.011564400000004582,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_001_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_001.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_001.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_001.events.parquet,,4.172943000000004
snh_r05_mix_s42,0.05,2,2,node_flow_chunk_002.parquet,4034976,202027,202027,0.050068947126327396,0.05,27479,3042,1,0,1.0,2.0929073110375196,1,1,202027,0,0,0,202027,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 202027, ""accepted_event_count"": 27479, ""resampled_candidate_count"": 3042, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.7552652000000109,2.6072738999999956,1.4518575000000027,0.012033900000005815,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_002_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_002.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_002.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_002.events.parquet,,4.232068899999987
snh_r05_mix_s42,0.05,3,3,node_flow_chunk_003.parquet,4034976,201453,201453,0.049926691013775545,0.05,27431,3050,1,0,1.0,2.093106339542853,1,1,201453,0,0,0,201453,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201453, ""accepted_event_count"": 27431, ""resampled_candidate_count"": 3050, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.6297323000000006,2.7073654000000147,1.2163366999999994,0.014929800000004434,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_003_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_003.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_003.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_003.events.parquet,,4.311371899999983
snh_r05_mix_s42,0.05,4,4,node_flow_chunk_004.parquet,4034976,202605,202605,0.050212194570674024,0.05,27565,2986,1,0,1.0,2.091819336114638,1,1,202605,0,0,0,202605,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 202605, ""accepted_event_count"": 27565, ""resampled_candidate_count"": 2986, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.8116713000000004,2.677587200000005,1.1719851999999946,0.014462499999979173,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_004_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_004.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_004.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_004.events.parquet,,4.14634749999999
snh_r05_mix_s42,0.05,5,5,node_flow_chunk_005.parquet,4034976,202105,202105,0.050088278096325725,0.05,27559,2956,1,0,1.0,2.086323886933488,1,1,202105,0,0,0,202105,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 202105, ""accepted_event_count"": 27559, ""resampled_candidate_count"": 2956, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.48126239999999143,1.9361893000000236,0.8121615999999676,0.008805400000028385,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_005_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_005.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_005.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_005.events.parquet,,2.85642949999999
snh_r05_mix_s42,0.05,6,6,node_flow_chunk_006.parquet,4034976,201267,201267,0.04988059408531798,0.05,27631,2958,1,0,1.0,2.0911295284282145,1,1,201267,0,0,0,201267,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201267, ""accepted_event_count"": 27631, ""resampled_candidate_count"": 2958, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.6859981000000062,2.7790166999999997,1.5238779000000022,0.01085560000001351,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_006_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_006.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_006.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_006.events.parquet,,4.222446600000012
snh_r05_mix_s42,0.05,7,7,node_flow_chunk_007.parquet,4034976,201148,201148,0.049851101964423085,0.05,27193,2905,1,0,1.0,2.0957599382193948,1,1,201148,0,0,0,201148,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201148, ""accepted_event_count"": 27193, ""resampled_candidate_count"": 2905, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.8261828999999921,2.662446799999998,1.5237784999999917,0.015282399999989593,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_007_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_007.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_007.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_007.events.parquet,,4.251835299999982
snh_r05_mix_s42,0.05,8,8,node_flow_chunk_008.parquet,4034976,201863,201863,0.05002830252274115,0.05,27386,2996,1,0,1.0,2.090776309063025,1,1,201863,0,0,0,201863,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201863, ""accepted_event_count"": 27386, ""resampled_candidate_count"": 2996, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,1.0540746000000354,3.05760070000008,1.25250989999995,0.011050900000100228,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_008_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_008.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_008.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_008.events.parquet,,5.792812899999944
snh_r05_mix_s42,0.05,9,9,node_flow_chunk_009.parquet,4034976,201599,201599,0.04996287462428525,0.05,27524,2976,1,0,1.0,2.091847115244877,1,1,201599,0,0,0,201599,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201599, ""accepted_event_count"": 27524, ""resampled_candidate_count"": 2976, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.8364639999999781,2.6654497000000674,1.428866599999992,0.025537799999938215,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_009_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_009.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_009.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_009.events.parquet,,4.280508199999986
snh_r05_mix_s42,0.05,10,10,node_flow_chunk_010.parquet,4034976,201453,201453,0.049926691013775545,0.05,27322,2887,1,0,1.0,2.0876216968011128,1,1,201453,0,0,0,201453,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201453, ""accepted_event_count"": 27322, ""resampled_candidate_count"": 2887, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.7582206000000724,2.9342885999999453,1.5642199999999775,0.012146300000040355,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_010_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_010.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_010.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_010.events.parquet,,4.494787700000074
snh_r05_mix_s42,0.05,11,11,node_flow_chunk_011.parquet,4034976,201023,201023,0.04982012284583601,0.05,27187,2976,1,0,1.0,2.089564865560746,1,1,201023,0,0,0,201023,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201023, ""accepted_event_count"": 27187, ""resampled_candidate_count"": 2976, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.6994909000000007,2.1867818000000625,1.2481192999999848,0.009482699999921351,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_011_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_011.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_011.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_011.events.parquet,,3.622388800000067
snh_r05_mix_s42,0.05,12,12,node_flow_chunk_012.parquet,4034976,202649,202649,0.05022309922041668,0.05,27669,3039,1,0,1.0,2.084715746864722,1,1,202649,0,0,0,202649,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 202649, ""accepted_event_count"": 27669, ""resampled_candidate_count"": 3039, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.8625838000000385,2.438043700000094,1.419002599999999,0.014018400000054498,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_012_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_012.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_012.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_012.events.parquet,,3.8838689000000386
snh_r05_mix_s42,0.05,13,13,node_flow_chunk_013.parquet,4034976,202214,202214,0.05011529188773366,0.05,27422,3025,1,0,1.0,2.090839471956823,1,1,202214,0,0,0,202214,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 202214, ""accepted_event_count"": 27422, ""resampled_candidate_count"": 3025, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.7504615000000285,2.169725000000085,1.3419209999999566,0.021164799999951356,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_013_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_013.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_013.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_013.events.parquet,,3.517861299999936
snh_r05_mix_s42,0.05,14,14,node_flow_chunk_014.parquet,4034976,201442,201442,0.04992396485133988,0.05,27663,2979,1,0,1.0,2.089722734338286,1,1,201442,0,0,0,201442,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201442, ""accepted_event_count"": 27663, ""resampled_candidate_count"": 2979, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.7306161999999858,2.3305339999999433,1.2426378000000113,0.013317800000095303,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_014_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_014.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_014.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_014.events.parquet,,3.7916680999999244
snh_r05_mix_s42,0.05,15,15,node_flow_chunk_015.parquet,4034976,201252,201252,0.049876876591087534,0.05,27582,3097,1,0,1.0,2.091255166412878,1,1,201252,0,0,0,201252,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201252, ""accepted_event_count"": 27582, ""resampled_candidate_count"": 3097, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.7426489999999148,2.448823399999924,1.3787085999999817,0.009491499999967346,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_015_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_015.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_015.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_015.events.parquet,,4.004822699999977
snh_r05_mix_s42,0.05,16,16,node_flow_chunk_016.parquet,4034976,201616,201616,0.04996708778441309,0.05,27434,2979,1,0,1.0,2.088175256980389,1,1,201616,0,0,0,201616,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 201616, ""accepted_event_count"": 27434, ""resampled_candidate_count"": 2979, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.8209543999998914,2.6903227000000243,1.2705616999999165,0.01011209999978746,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_016_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_016.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_016.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_016.events.parquet,,4.215838200000007
snh_r05_mix_s42,0.05,17,17,node_flow_chunk_017.parquet,4034976,202314,202314,0.050140075182603314,0.05,27533,3042,1,0,1.0,2.085315802854756,1,1,202314,0,0,0,202314,0,1.0,False,1,12306677,global_missing_allocation.csv,"[{""spatial_constraint_level"": ""strict_anchor"", ""accepted_missing_count"": 202314, ""accepted_event_count"": 27533, ""resampled_candidate_count"": 3042, ""relaxation_reason"": ""no_relaxation""}]",no_relaxation,anchor,bitset,part_files,True,False,True,True,True,progressive,True,0.7,True,False,0.773484599999847,2.5430135999999948,1.3651724999999715,0.0115921999999955,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\masks\snh_r05_mix_s42\node_flow_chunk_017_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\miss_data\snh_r05_mix_s42\node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_017.status.json,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\status_parts\snh_r05_mix_s42__chunk_017.status.csv,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix_fast_full_temp\miss_set\manifests\event_parts\snh_r05_mix_s42__chunk_017.events.parquet,,4.191345400000046
